OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,12/9/2024,1849,Johnny Thompson,christinebailey@robinson.biz,British Virgin Islands,599,Electronics,Table,2,411.44,822.88,West
2,4/18/2024,1463,Christina Bowman,jennifersalazar@yahoo.com,Korea,524,Sports,Laptop,10,820.2,8202,North
3,2/10/2024,1308,Sean Harris,harold74@carrillo.com,American Samoa,583,Clothing,Table,5,922.09,4610.45,North
4,4/7/2025,1366,Tina Munoz,pcarlson@morrison.com,Togo,596,Sports,T-Shirt,4,814.39,3257.56,East
5,5/31/2024,1314,James Ford,qromero@castillo-jackson.com,Tonga,549,Electronics,Perfume,10,547.25,5472.5,South
6,6/12/2025,1525,Elizabeth Cunningham,karen47@lee-cox.com,Azerbaijan,537,Clothing,Shoes,5,978.02,4890.1,West
7,7/4/2023,1517,Lisa Ponce,mark14@burns.biz,Slovenia,560,Electronics,Table,1,330.2,330.2,West
8,12/10/2024,1577,Suzanne Bowen,bsmith@hotmail.com,Netherlands Antilles,565,Clothing,Bicycle,6,570.58,3423.48,South
9,11/19/2023,1825,Andrew Johnson,carolyn00@hotmail.com,Uruguay,514,Beauty,Tennis Racket,6,374.67,2248.02,West
10,3/19/2024,1514,Brenda Meyers,laurendaniels@yahoo.com,Saudi Arabia,593,Furniture,Perfume,7,176.95,1238.65,East
11,11/27/2023,1306,Mrs. Stacy Conley,susanle@hart.net,Kuwait,515,Electronics,T-Shirt,7,727.3,5091.1,West
12,3/2/2025,1065,Christopher Harris,elizabethwebb@waller.com,Botswana,592,Furniture,Bicycle,5,740.47,3702.35,North
13,9/1/2024,1558,Matthew Mcguire,michaelfrederick@bradley.biz,Argentina,600,Sports,Phone,10,599.52,5995.2,East
14,5/24/2025,1668,Megan Owens,gregoryregina@lopez.org,Ethiopia,559,Furniture,Phone,5,996.44,4982.2,East
15,7/20/2024,1252,Beverly Rose,panderson@norris.org,Qatar,564,Beauty,Tennis Racket,2,830.67,1661.34,East
16,4/2/2025,1248,Sharon Atkinson,coxlisa@ryan-ashley.org,Tajikistan,576,Furniture,T-Shirt,7,74.6,522.2,North
17,4/26/2024,1906,William Fischer,johnsonmitchell@hotmail.com,United States Virgin Islands,586,Clothing,T-Shirt,8,959.73,7677.84,South
18,2/17/2025,1237,Austin Evans,claytonamy@gmail.com,Mexico,541,Beauty,Laptop,5,379.77,1898.85,Central
19,3/18/2025,1746,Amber Ward,castillosara@davis.com,Netherlands,559,Clothing,Table,5,611.69,3058.45,South
20,11/14/2024,1070,Randy Parks,mstevens@gmail.com,Samoa,530,Sports,Bicycle,6,215.82,1294.92,Central
21,2/3/2025,1412,Aaron Thomas,denisepowell@zimmerman-hale.com,Venezuela,575,Electronics,Phone,1,45.43,45.43,West
22,7/14/2024,1674,Jeanette Hunt,peggyhernandez@yahoo.com,Serbia,542,Electronics,Sofa,7,229.7,1607.9,West
23,10/13/2023,1938,Jerry Sutton,grantandrew@dickson.com,Grenada,545,Beauty,T-Shirt,9,935.59,8420.31,East
24,9/21/2023,1734,Michael Johnson,munozgary@gmail.com,Namibia,568,Sports,Bicycle,3,40.73,122.19,East
25,6/1/2024,1438,Jason Brown,jsanchez@hotmail.com,Saudi Arabia,584,Sports,T-Shirt,6,283.05,1698.3,North
26,3/9/2024,1121,Daniel Martin,butlerfrank@maxwell-woodward.com,Guatemala,518,Electronics,Perfume,9,964.23,8678.07,South
27,11/16/2023,1766,Kevin Yang,robert93@wade-hickman.biz,Seychelles,505,Furniture,Laptop,4,649.89,2599.56,East
28,8/14/2024,1803,Allison Horton,tmoore@hotmail.com,Maldives,548,Beauty,Table,6,880.29,5281.74,Central
29,9/14/2024,1259,Vanessa Smith,wilsonamy@smith.com,Gambia,559,Sports,Sofa,3,262.7,788.1,East
30,5/25/2025,1684,Donna Grant,savannahhull@gmail.com,Macedonia,545,Electronics,Shoes,5,327.9,1639.5,Central
31,2/10/2024,1116,Sara Ellis,elizabeth21@harris.org,Switzerland,586,Beauty,Shoes,5,178.77,893.85,North
32,6/3/2024,1210,Richard Williams,vwalker@hotmail.com,Liechtenstein,569,Beauty,Shoes,4,551.57,2206.28,South
33,1/29/2024,1053,Eric Miller,ajames@crawford.org,Tajikistan,545,Clothing,Bicycle,10,817.22,8172.2,West
34,12/27/2024,1257,Kurt Roberts,hansenanthony@vargas.net,Trinidad and Tobago,517,Clothing,Bicycle,1,611.06,611.06,Central
35,8/12/2023,1976,Samantha Davidson,csheppard@valenzuela.com,Costa Rica,543,Sports,Sofa,8,256.99,2055.92,West
36,9/13/2024,1888,Mariah Walls,annetteduncan@hoover.com,Rwanda,557,Sports,Bicycle,3,464.4,1393.2,East
37,1/19/2024,1261,Jonathan Whitehead,hawkinstammy@smith.biz,Kazakhstan,594,Electronics,Laptop,1,163.84,163.84,West
38,4/10/2024,1696,George Wright,ibarnes@davis.com,Guatemala,579,Sports,Phone,5,583.72,2918.6,Central
39,10/13/2024,1359,Jeanette Ramirez,ann14@hotmail.com,Greenland,503,Sports,T-Shirt,6,353.84,2123.04,East
40,4/10/2025,1230,Emma Pearson,dmullins@yahoo.com,Saint Barthelemy,588,Electronics,Bicycle,9,20.61,185.49,Central
41,3/24/2025,1930,Jason Ramirez,johnsmith@collier-everett.com,Northern Mariana Islands,583,Sports,Table,10,802.92,8029.2,South
42,6/30/2024,1482,Carly Wheeler,asingh@gmail.com,Antigua and Barbuda,545,Furniture,Bicycle,1,204.87,204.87,Central
43,1/23/2025,1524,Michelle Bradley,tylerwalters@gmail.com,Tunisia,567,Furniture,Table,1,535.44,535.44,North
44,11/3/2024,1578,John Valenzuela,kjensen@carter.com,Jersey,518,Clothing,Shoes,9,898.31,8084.79,Central
45,4/30/2024,1367,Amanda Walsh,boylejoseph@hotmail.com,Ecuador,513,Electronics,Perfume,2,79.49,158.98,North
46,11/9/2023,1217,Jay Peterson,pearsonkathryn@singleton-scott.com,Christmas Island,581,Sports,Tennis Racket,2,931.86,1863.72,North
47,5/28/2025,1239,Christopher White,achen@gmail.com,Argentina,518,Electronics,Perfume,2,471.54,943.08,North
48,8/6/2023,1397,Elizabeth Kelly,javieryoung@santana-williams.com,Jordan,515,Furniture,Laptop,3,860.72,2582.16,West
49,2/27/2025,1242,Joseph Gomez,herringrobert@brown.com,Nepal,504,Electronics,Bicycle,3,576.79,1730.37,North
50,12/1/2023,1236,William Taylor,uross@yahoo.com,Saudi Arabia,550,Beauty,Shoes,10,186.22,1862.2,Central
51,12/13/2023,1366,Kelsey Velasquez,jessicawatson@hotmail.com,Cocos (Keeling) Islands,515,Electronics,Perfume,3,595.53,1786.59,East
52,10/8/2023,1722,Brenda Chavez,djohnson@gmail.com,Indonesia,555,Furniture,Table,4,676.51,2706.04,Central
53,1/9/2024,1323,James Christensen,kpatterson@warren-carter.com,Poland,509,Sports,Shoes,2,141.72,283.44,West
54,7/21/2023,1244,Gordon Young,mitchelltoni@mccoy.com,Samoa,523,Beauty,Phone,5,891.49,4457.45,East
55,10/13/2024,1609,Jodi Caldwell,brian44@gmail.com,Georgia,525,Clothing,Shoes,3,778.66,2335.98,East
56,10/31/2023,1913,Steven Fox,donna17@booth.com,Peru,562,Furniture,Phone,9,913.46,8221.14,North
57,5/29/2025,1133,Bernard Peters,osutton@burke.com,United Kingdom,519,Clothing,Table,7,683.08,4781.56,South
58,11/5/2024,1934,Jane Armstrong,bnewton@yahoo.com,India,568,Beauty,Shoes,4,157.88,631.52,East
59,10/5/2024,1876,Christina Martinez,brianariley@hogan.info,Botswana,582,Sports,Table,4,448.1,1792.4,East
60,9/20/2024,1683,Jared Huynh,nicolestokes@yahoo.com,Saint Vincent and the Grenadines,553,Furniture,Shoes,4,577.81,2311.24,North
